"Paper_ID","Authors_and_Year","Publication_Venue","Target_Population_and_Region","Sample_Size","Primary_Objective","Burnout_Mental_Health_Tool","Digital_Wellbeing_Passive_Indicators","Self_Reported_Survey_Indicators","ML_Algorithms_Evaluated","Best_Performing_Model_and_Metrics","XAI_Interpretability_Techniques","Personalized_Recommendations","Actionable_System_Features","Main_Strengths","Key_Limitations","Unaddressed_Research_Gaps"
"P011","Mohammad Rezaur Rahman, Sayma Sharmen, Morshed Alam (2026)","Cogent Education","Undergraduate private university students | Dhaka, Bangladesh","401","To investigate the influence of Self-Evaluation Traits (SET) and Career Decision-Making Difficulties (CDMD) on student burnout, and to examine the mediating role of Social Support (SS) utilizing the Conservation of Resources (COR) theory.","Maslach Burnout Inventory-Student Survey (MBI-SS) (used to measure emotional exhaustion, cynicism, and diminished accomplishment).","None used.","5-point Likert scale surveys measuring: Self-Evaluation Traits (12 items), Career Decision-Making Difficulties (8 items), Social Support (12 items), and Student Burnout (9 items). Demographic factors included gender, age, field of study, and year of study.","None. The study employed traditional statistical modeling, specifically Partial Least Squares Structural Equation Modeling (PLS-SEM) via Smart PLS-4 and IBM SPSS.","The PLS-SEM path model demonstrated adequate predictive relevance and fit, explaining 26.6% of the variance in Student Burnout (R² = 0.266).","None / Not Applicable. (Relies on traditional white-box PLS-SEM path coefficients and mediation analysis).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study provides institutional policy recommendations, emphasizing the need for twofold interventions: (1) building organized social support networks (peer mentoring, faculty engagement) to mitigate situational career-decision stress, and (2) implementing self-efficacy training to maintain internal resilience.","Successfully addresses a major geographical gap by focusing on an LMIC context (private university students in Bangladesh); clarifies the distinct roles of internal resources (SET) versus external situational factors (CDMD) in predicting burnout; employs robust PLS-SEM methodology including common method bias and collinearity checks.","Cross-sectional design prevents causal conclusions; convenience sampling restricted to a single city (Dhaka) limits broader national or international generalizability.","Complete reliance on self-report questionnaires with no integration of objective behavioral markers or passive digital logging; absence of predictive Machine Learning (ML) models and explainable AI (XAI) frameworks; lacks longitudinal tracking to validate the suggested interventions over time."
"P012","Yanling Lan, Sihang Liu, Hao Chen (2026)","Frontiers in Computer Science","College students | Fujian Province, China","412","To examine the psychological pathways linking AI affordances (perceived usefulness, inert thinking, perceived enjoyment) to learning burnout, utilizing a serial mediation model based on the I-PACE framework (AI dependence -> AI addiction).","Learning Burnout (LB) scale (adapted from Schaufeli et al., 2002; essentially derived from the Maslach Burnout Inventory-Student Survey).","None used.","Likert-scale surveys assessing: Perceived Usefulness of AI, Inert Thinking, Perceived Enjoyment, AI Dependence, AI Addiction, and Learning Burnout. Demographic factors included gender, academic qualification, and major.","None. The study relied entirely on traditional statistical modeling, specifically Partial Least Squares Structural Equation Modeling (PLS-SEM) executed via SmartPLS and SPSS.","The PLS-SEM path model successfully validated the serial mediation hypotheses (e.g., perceived usefulness → AI dependence → AI addiction → learning burnout). Model adequacy was verified with SRMR (0.082) and NFI (0.807).","None / Not Applicable. (Interpretability relies on standard white-box structural equation path coefficients and mediation analysis).","No algorithmic personalized recommendations were provided.","Not a technological intervention system. The study recommends institutional and curricular interventions, including: developing ""AI conscious learning modules"" to train metacognitive regulation, fostering ""Creative Engagement"" teaching methods to counter inert thinking, and establishing an ""AI Behavior Supervision and Healthy Use System"" to track student learning data and provide behavioral feedback.","Innovatively applies the established I-PACE (Interaction of Person-Affect-Cognition-Execution) addiction framework to the modern context of generative AI; clearly defines the mechanistic progression from instrumental AI reliance to pathological AI addiction and subsequent burnout.","Cross-sectional design prevents definitive causal inference of the sequential pathways; the sample is limited to a single province in China (Fujian), constraining generalizability; reliance on a unidirectional structural model ignores potential cyclical feedback loops between burnout and addiction.","Complete absence of objective behavioral data, such as passive digital logging of actual AI tool usage (e.g., screen time, prompt frequency); lack of longitudinal studies to track the temporal evolution of AI addiction; absence of predictive Machine Learning models or XAI frameworks; lack of cross-cultural validation, particularly in other LMICs like Bangladesh."
"P013","Wasit Wongtrakul, Yodying Dangprapai, Nattha Saisavoey, Naratip Sa-nguanpanich (2023)","Frontiers in Psychology","Preclinical medical students | Bangkok, Thailand","426","To culturally adapt, translate, and validate the Maslach Burnout Inventory-Student Survey (MBI-SS) for use in a Thai context among preclinical medical students.","Maslach Burnout Inventory-Student Survey (MBI-SS) (16 items assessing emotional exhaustion, cynicism, and academic efficacy).","None used.","The translated 16-item Thai MBI-SS scale and basic demographic data (class year, gender, age, hometown region).","None. The study relied exclusively on traditional psychometric and statistical methods, specifically Exploratory Factor Analysis (EFA), Confirmatory Factor Analysis (CFA), and McDonald's omega coefficients.","The 3-factor Confirmatory Factor Analysis (CFA) model demonstrated acceptable goodness-of-fit indices: RMSEA = 0.062, SRMR = 0.055, CFI = 0.964, and TLI = 0.957.","None / Not Applicable. (Interpretability relies on standard white-box factor loadings).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study's outcome is the validated questionnaire itself, which the authors recommend using for early identification of burnout to facilitate campus-based health promotion programs (e.g., mindfulness, physical activity, and self-compassion training).","Successfully adapts and validates the gold-standard burnout assessment tool (MBI-SS) for a highly stressed, under-researched demographic in Thailand; utilizes rigorous statistical validation (EFA, CFA, and test-retest reliability).","The study was limited to preclinical medical students from a single university in Thailand, limiting generalizability to clinical students, other academic disciplines, or other institutions; low test-retest response rate (43.9%); lack of external validation.","Complete absence of objective behavioral data, such as passive digital logging or physiological sensor data, relying entirely on self-reports; lack of predictive Machine Learning (ML) models to forecast burnout; absence of Explainable AI (XAI) frameworks for intervention design; while it addresses Thailand, it lacks cross-cultural comparisons with other LMIC regions (e.g., Bangladesh)."
"P014","Yuanyuan Chen, Mengyun Wang, Shujuan Yuan, Yan Zhao (2025)","Frontiers in Psychology","College students | China (Multiple cities: Shanghai, Guangzhou, Xi'an, Haikou, Hefei)","Multiple studies: Study 1 (N=547), Study 2 (N=687), Study 3 (N=1081 for status survey, N=892 for correlation).","To develop and psychometrically validate a new instrument, the Conversational AI Dependence Scale (CAIDS), and to explore its relationship with psychological adaptation, stress, and subjective wellbeing among Chinese college students.","The newly developed CAIDS (20-item scale). It was validated alongside the Depression-Anxiety-Stress Scale (DASS-21), Athens Insomnia Scale, and Subjective Wellbeing scales.","None used.","CAIDS dimensions (uncontrollability, withdrawal symptoms, mood modification, negative impact), sleep problems, functional difficulties (friendship, family, academic), depression, anxiety, stress (DASS-21), subjective wellbeing, social media addiction, loneliness, and insecure attachment. Demographic variables included gender, age, grade, income, and region.","None. The study relied on traditional psychometric and statistical methods, specifically Exploratory Factor Analysis (EFA), Confirmatory Factor Analysis (CFA) using Mplus, ANOVA, and regression analyses using SPSS.","The 4-factor CFA model for the CAIDS demonstrated good construct validity and fit indices (RMSEA = 0.07, SRMR = 0.06, CFI = 0.92, TLI = 0.91).","None / Not Applicable. (Interpretability relies on standard psychometric factor loadings and regression coefficients).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends institutional and curricular interventions, proposing that universities offer courses titled ""Digital Well-being and Emotional Regulation"" that integrate mindfulness training to manage AI use, and establish a comprehensive ""Human-centered AI Literacy"" training system.","Addresses a highly contemporary issue by developing a specific psychometric tool (CAIDS) for Conversational AI dependency, explicitly distinguishing it from general problematic internet use; utilizes a robust mixed-methods approach combining qualitative interviews with multi-stage quantitative validation.","The cross-sectional design restricts the ability to draw causal inferences between AI dependence and negative psychological outcomes; the sample consists exclusively of Chinese college students, limiting broad cross-cultural generalizability.","Complete absence of objective behavioral data, such as passive digital logging of actual AI tool usage (e.g., chat logs, screen time, prompt frequency) to corroborate self-reports; absence of predictive Machine Learning models or Explainable AI frameworks; lack of validation in non-Chinese contexts, specifically other LMICs like Bangladesh."
"P015","Reda Ebrahim Mohamed Elashram, Liyla Marzouk Alamri (2026)","Frontiers in Psychology","Graduate students (Master's and Ph.D.) in special education departments | Saudi Arabia (6 public universities)","367","To investigate the relationships between AI application usage patterns, academic resilience, and burnout among graduate special education students, and to determine the predictive capacity of AI use and resilience on burnout.","Maslach Burnout Inventory-Student Survey (MBI-SS) (Abbreviated 10-item version adapted for the Saudi context). The Brief Resilience Scale (BRS) was also used.","None used.","AI application usage patterns (a newly developed 20-item scale covering Cognitive/Technical Proficiency, Academic Application in Research/Writing, and Specialization/Adaptation), Academic Resilience (BRS), and Burnout (MBI-SS). Demographic factors included gender, academic level, and specialization track.","None. The study relied exclusively on traditional statistical methods, specifically standard multiple regression, simple linear regression, and Pearson correlations using SPSS.","A standard multiple regression model demonstrated that AI application usage patterns explained 34.1% of the variance in burnout (R² = 0.341), while academic resilience explained 19.1% (R² = 0.191).","None / Not Applicable. (Interpretability relies on standard white-box regression coefficients).","No algorithmic personalized recommendations were generated.","Not an actionable technological system. The study provides institutional policy recommendations, suggesting that universities implement structured AI training programs, institutional resilience interventions, and clear policies to regulate AI use to preserve academic integrity while optimizing research workloads.","Focuses on a highly specific and under-researched demographic (graduate special education students instead of the usual undergraduate medical students); challenges the assumption that AI use strictly exacerbates burnout, demonstrating it can act as a protective ""resource"" within the Job Demands-Resources (JD-R) model; develops a culturally tailored scale for AI usage.","Cross-sectional, correlational design restricts the ability to infer direct causality; convenience sampling limits broad generalizability; reliance on self-report instruments exposes findings to socially desirable response biases.","Complete absence of objective behavioral data, such as passive digital logging of actual AI usage to corroborate self-reports; absence of predictive Machine Learning models or Explainable AI frameworks; lack of longitudinal studies; while addressing the Saudi context, it lacks comparisons with lower-middle-income countries (LMICs) such as Bangladesh."
"P016","Jie Zhan, Jiagen Xiang, Yiming Zhang, Xingang Zhao, Ke Zhang, Haining Ou, Lechang Zhan, Aiyun He (2026)","Frontiers in Psychology","Undergraduate students at a Traditional Chinese Medicine (TCM) university | Guangzhou, China","666","To determine the prevalence and identify the multi-dimensional determinants of academic burnout among undergraduates navigating the unique ""dual-curriculum"" (traditional and modern medicine) at a TCM university.","Maslach Burnout Inventory-Student Survey (MBI-SS) (Chinese version). The revised Perceived School Climate Scale (PSCS) was also utilized.","None used.","Demographic factors (age, gender, ethnicity, religious affiliation, pre-university residence), health-related behaviors (diet regularity, daily routine regularity, smoking, alcohol, mental disorder history), academic characteristics (class ranking, grade, major, leadership experience), family background (income, parental education), and perceived school climate (teacher support, student support, autonomy).","None. The study relied exclusively on traditional statistical methods, including Chi-square tests, Spearman's correlation, and multivariable Binary Logistic Regression via SPSSAU.","The binary logistic regression model identified five significant independent predictors of academic burnout: religious affiliation (aOR = 5.56), pre-university rural residence (protective, aOR = 0.60), irregular daily routine (aOR = 2.03), lower academic ranking (aOR = 3.87), and perceived teacher support (protective, aOR = 0.78).","None / Not Applicable. (Interpretability relies on standard adjusted odds ratios from the regression model).","No algorithmic personalized recommendations were generated.","Not an actionable technological system. The study proposes four institutional, non-technical strategies: (1) faculty training for supportive mentorship; (2) integrating mandatory time management and sleep hygiene courses; (3) targeted counseling for lower-ranked students and religious minorities; and (4) establishing cross-year peer mentoring initiatives.","Focuses on a highly specific, under-researched population dealing with unique cognitive overload (TCM's dual-curriculum challenge); utilizes a comprehensive multi-tiered ecological framework (combining individual, behavioral, and environmental/school climate factors).","The cross-sectional design precludes causal inference (e.g., does low teacher support cause burnout, or does burnout skew perception of support?); convenience sampling from a single university limits generalizability; heavy reliance on self-reported data which is susceptible to social desirability bias.","Complete absence of objective behavioral data, such as passive digital logging (e.g., using wearables to track sleep or routine regularity objectively instead of via self-report); lack of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; absence of cross-cultural validation in other LMICs (e.g., Bangladesh) or other Complementary and Alternative Medicine (CAM) programs globally."
"P017","Guang-Hui Yang, Xiao-Xuan Cao, Yan-Yan Fu, Ning-Dan Wang, Shuai-Lei Lian (2024)","Frontiers in Psychiatry","College students | Jingzhou, China","752","To explore the relationship between mobile phone addiction and academic burnout among college students, specifically examining the mediating role of technology conflict and the moderating role of mindfulness.","Maslach Burnout Inventory-Student Survey (MBI-SS) (Chinese translated version).","None used.","Mobile Phone Addiction Index (MPAI), Technology Conflict Scale, Mindfulness Scale, and Academic Burnout (MBI-SS). Control variables included gender, age, grade, and years of using mobile phones.","None. The study utilized traditional statistical modeling, specifically moderated mediation analysis using the SPSS macro PROCESS (Model 8) and simple slope analyses.","The moderated mediation model confirmed that mobile phone addiction positively predicts academic burnout (R² = 0.091), that technology conflict mediates this relationship, and that mindfulness acts as a significant buffer (moderator) for both the direct and indirect effects.","None / Not Applicable. (Interpretability relies on standard white-box regression and path coefficients).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends non-technical, educational interventions, specifically the implementation of mindfulness training programs (e.g., yoga, mindful listening) to enhance self-control, improve emotional adjustment, and mitigate the negative impacts of mobile phone addiction.","Provides a nuanced psychological mechanism (technology conflict) linking device addiction to burnout; successfully identifies an actionable protective trait (mindfulness) that buffers against the negative impacts of technology overuse.","Cross-sectional design prevents the establishment of strict causal relationships; sample drawn exclusively from a single university in China limits generalizability; complete reliance on self-report questionnaires introduces potential social desirability bias.","Complete absence of objective behavioral data, such as passive digital logging (e.g., actual screen time or app usage logs) to corroborate self-reported mobile phone addiction; absence of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; lack of cross-cultural validation in diverse settings, including other LMICs like Bangladesh."
"P018","Nils Olson, Renate Oberhoffer-Fritz, Barbara Reiner, Thorsten Schulz (2023)","Frontiers in Public Health","University students (all academic subjects) | Bavaria, Germany","3,451","To identify socio-demographic and study-related factors contributing to both student burnout and study engagement across a diverse range of academic subjects at a German technical university.","Maslach Burnout Inventory Short Form for Students (MBI-SS). Study engagement was evaluated using the Utrecht Work Engagement Scale-Student Survey (UWES-S 9).","None used.","Sociodemographic data (age, gender), study satisfaction (1-10 scale), academic workload (self-reported weekly hours for classes and preparation), number of semesters studied, and occupational liabilities (hours per week spent on side-jobs).","None. The study relied exclusively on traditional inferential statistics, specifically Binary Logistic Regression.","The binary logistic regression models successfully identified significant predictors. For example, higher study satisfaction was protective against exhaustion (OR = 0.702), while increased academic workload slightly elevated the risk for cynicism (OR = 1.013) but also increased study engagement (OR = 1.014).","None / Not Applicable (Interpretability relies on standard white-box Odds Ratios [OR] from logistic regression).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study provides structural recommendations for university administrators, advising the systematic integration of health promotion (nutrition, physical activity, stress management) into the curriculum and fostering a supportive environment to boost study satisfaction, rather than solely focusing on reducing academic workload.","Exceptionally large sample size (N=3,451); expands research beyond the typical focus on medical/nursing students to include all academic disciplines at a technical university; explores the duality of both negative (burnout) and positive (engagement) academic experiences.","Cross-sectional design prevents drawing definitive causal conclusions; relies entirely on subjective self-assessments (e.g., self-reported workload hours); data is restricted to a single technical university in Germany, limiting generalizability.","Complete absence of objective behavioral data, such as passive digital logging, to verify self-reported study or work hours; absence of predictive Machine Learning (ML) models or Explainable AI (XAI) frameworks; lacks cross-cultural validation, particularly in lower-middle-income countries (LMICs) such as Bangladesh."
"P019","Seung-Yi Choi, Jung-Hee Kim (2024)","Frontiers in Public Health","Generation Z university students | Republic of Korea","330","To culturally adapt, investigate the factor structure, and verify the validity and reliability of the Korean version of the Digital Burnout Scale (DBS) among Generation Z university students.","Digital Burnout Scale (DBS) (Assessing three dimensions: digital aging, digital deprivation, and emotional exhaustion). The Maslach Burnout Inventory-Student Survey (MBI-SS) and the Digital Addiction Scale (K-DAS) were used to test concurrent validity.","None used.","Self-reported daily digital device use time, primary purpose of digital device use, digital burnout (DBS), digital addiction (K-DAS), academic burnout (MBI-SS), and demographic factors (age, gender, academic grade, major, residence).","None. The study utilized traditional psychometric validation methods, primarily Confirmatory Factor Analysis (CFA) using AMOS 18 and Pearson correlation analysis using SPSS 22.","The 3-factor Confirmatory Factor Analysis model for the 24-item Korean DBS demonstrated an adequate fit to the data (CFI = 0.91, TLI = 0.90, RMSEA = 0.08, SRMR = 0.07).","None / Not Applicable. (Interpretability relies on standard white-box psychometric factor loadings and construct validity metrics).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends educational interventions: developing healthy digital usage education programs, encouraging regular breaks and limiting screen time before sleeping, enhancing digital control through time management education, and promoting offline leisure activities (e.g., meditation and yoga) to alleviate digital-induced emotional exhaustion.","Validates a highly relevant, contemporary tool (DBS) that captures unique modern stressors (""digital aging"" and ""digital deprivation"") overlooked by traditional academic burnout scales; specifically targets the highly digitized Generation Z demographic.","Cross-sectional design prevents establishing causal relationships between digital usage and burnout; online data collection may exclude individuals with low internet accessibility; focused solely on university students, limiting generalizability to other populations like working professionals or older adults.","Complete reliance on self-report methods for tracking digital behavior (e.g., self-reported screen time) which is prone to estimation errors; the authors explicitly note the need for future research to incorporate objective data collection (such as passive digital logging or physiological sensors); absence of predictive Machine Learning models or Explainable AI; lack of cross-cultural validation in LMICs (e.g., Bangladesh)."
"P020","Yunfei Tao, Zhaozhi Liu, Li Huang, Haowei Liu, Haodong Tian, Jinlong Wu, Lan Li, Li Peng (2024)","Frontiers in Public Health","College/University students | Chongqing, China","23,652","To explore the relationship between smartphone dependence and sleep quality among college students, and to examine the chain-mediating roles of negative emotions and health-promoting behaviors in this relationship.","Depression Anxiety Stress Scales (DASS-21) to assess negative emotions.","None used.","Smartphone dependence (Mobile Phone Involvement Questionnaire - MPIQ), sleep quality (Pittsburgh Sleep Quality Index - PSQI), negative emotions (DASS-21), and health-promoting behaviors (Health-Promoting Lifestyle Profile II - HPLP-II). Demographic factors included gender, place of residence, parents' education, only child status, smoking, and alcohol consumption.","None. The study relied on traditional statistical modeling, utilizing hierarchical linear regression and chain mediation analysis via the SPSS PROCESS macro.","The chain mediation model demonstrated that smartphone dependence significantly and positively predicts poor sleep quality (total effect = 0.304). The indirect effects through negative emotions and health-promoting behaviors accounted for 56.06% of this total effect.","None / Not Applicable. (Interpretability relies on standard white-box regression coefficients and mediation effect sizes).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends public health and educational interventions focused on increasing health-promoting behaviors (e.g., outdoor activities, physical exercise, proper nutrition) and providing psychological support to alleviate negative emotions, which in turn can break the cycle of smartphone dependence and poor sleep.","Exceptionally large sample size (N=23,652) ensuring high statistical power; successfully integrates behavioral (lifestyle) and affective (emotions) dimensions into a complex chain-mediation model to explain the impacts of smartphone dependence.","Cross-sectional design prevents the establishment of definitive causal relationships; the study assumes smartphone use is purely detrimental, ignoring the potential benefits of digital tools (e.g., mHealth apps); demographic factors were used as covariates rather than examined as moderators of the mediation effects.","Complete absence of objective behavioral data, such as passive digital logging (e.g., actual screen time records) and objective physiological sleep tracking (e.g., actigraphy), relying entirely on subjective self-reports; absence of predictive Machine Learning (ML) models and Explainable AI (XAI); lacks cross-cultural validation in LMIC contexts outside of China (e.g., Bangladesh)."
"P021","Eldar Yeskuatov, Lee Kien Foo, Sook-Ling Chua (2025)","Healthcare (MDPI)","Undergraduate computing students (IT and Computer Science) | Malaysia","688","To investigate the feasibility of automatically detecting academic burnout symptoms using machine learning models trained exclusively on passive university administrative records, eliminating the reliance on psychological surveys.","Maslach Burnout Inventory-General Survey for Students (MBI-GS(S)). (Note: Used strictly to establish the ground-truth target labels for training the ML models, not as input features).","The study relies entirely on passively collected institutional administrative records as predictive features. These 18 features include cumulative GPA, total credit hours, academic level, program type, campus location, financial assistance, and admission term.","None used for prediction.","Logistic Regression (LR), Support Vector Machine (SVM), Naive Bayes (NB), Decision Tree (DT), and Extreme Gradient Boosting (XGBoost).","Logistic Regression (LR) achieved the highest performance for detecting the Exhaustion dimension, with an F1-score of 68.4% and Recall of 81.2%. Naive Bayes (NB) performed best for Cynicism but with lower metrics (Accuracy = 53.3%, F1-score = 51.3%).","Feature Importance using the Boruta algorithm to identify and validate statistical associations between administrative features and burnout dimensions. No localized XAI tools (like SHAP/LIME) were used.","No algorithmic personalized recommendations were provided.","The study's primary goal is the creation of an actionable early warning system: an automated, unobtrusive burnout detection pipeline that continuously scans university administrative records to flag at-risk students for proactive outreach, bypassing the administrative burden and response biases of traditional surveys.","Highly innovative methodology that completely removes self-report bias from the predictor variables by relying solely on objective administrative data; shifts focus away from medical students to underrepresented computing students; effectively addresses an LMIC/Southeast Asian context (Malaysia).","The overall predictive performance was modest (average F1 scores ranged from 39.2% for professional efficacy to 64.1% for exhaustion), demonstrating that basic administrative records lack the psychological depth necessary to accurately capture burnout; cross-sectional design.","Although the study utilized passive administrative data, the authors explicitly note the critical missing gap of continuous passive digital/behavioral logging—such as LMS (Learning Management System) interaction logs, attendance tracking, and extracurricular engagement metrics—which are needed to significantly improve model accuracy; lack of advanced Explainable AI (XAI) frameworks to interpret the predictions transparently."
"P022","Muhammad Bimo Wijoyo, Eka Firmansyah, Kenneth Sulthon Alafi Al Hallaj, Irfan Zakariah, Mahbub Junaidi (2026)","H-Luminia: Education, Psychology and Social Behavior Journal","Final year undergraduate students writing their theses | Surabaya, Indonesia","215","To examine the simultaneous and partial impact of academic stress and grit (perseverance) on burnout behavior among final-year students writing their undergraduate theses at an Islamic state university.","Maslach Burnout Inventory Student Survey (MBI-SS) (15 items assessing emotional exhaustion, cynicism, and academic efficacy).","None used.","Academic Stress (assessed via the Academic Stress Scale measuring workload, fear of failure, interpersonal relationships, time management), Grit (assessed via the Short Grit Scale measuring consistency of interest and perseverance of effort), and Burnout.","None. The study utilized traditional statistical analysis, specifically multiple linear regression via IBM SPSS Statistics.","The multiple linear regression model accounted for 37.7% of the variance in burnout (R² = 0.377). Academic stress was a strong positive predictor (β = 0.512), while grit acted as a significant negative/protective predictor (β = -0.298).","None / Not Applicable. (Interpretability relies on standard white-box regression coefficients).","No algorithmic personalized recommendations were generated.","Not an actionable technological system. The study provides structural recommendations for university counseling centers to implement ""dual-track interventions"": (1) stress reduction programs focusing on cognitive reframing and time management, and (2) grit enhancement programs incorporating goal visualization and peer mentoring, explicitly rooted in Islamic frameworks of istiqamah (consistency) and mujahadah (striving).","Focuses on a highly specific, high-stress academic milestone (thesis writing); effectively targets a unique socio-cultural and religious context (Islamic higher education in Indonesia); successfully integrates the positive psychological construct of 'grit' as a protective buffer against burnout.","The cross-sectional design restricts the ability to establish true causality between stress, grit, and burnout; relies entirely on a single university population (UINSA), limiting generalizability; 62.3% of the variance in burnout remains unexplained, suggesting missing predictors (e.g., perfectionism, social support).","Complete absence of objective behavioral data, such as passive digital logging (e.g., tracking typing dynamics or document editing patterns during thesis writing) to complement self-reported stress; absence of predictive Machine Learning (ML) algorithms or Explainable AI (XAI) frameworks to automatically identify at-risk students in real-time."
"P023","Santiago Cotobal Rodeles, Francisco Javier Martín Sánchez, Manuel Martínez-Sellés (2025)","Journal of Clinical Medicine","Physicians and Medical Students | Global (Narrative Literature Review)","Not applicable (Literature Review)","To comprehensively review the literature on physician and medical student burnout across specialties, assess its consequences on mental health and patient safety, and propose evidence-based strategies for prevention and treatment.","Discusses various tools utilized across the literature, predominantly highlighting the Maslach Burnout Inventory (MBI-HSS, MBI-SS, and abbreviated versions), the Stanford Physician Wellness survey, and the Mini-Z Work-Life instrument.","The review explicitly notes a growing trend/opportunity in using passive data: ""wearables and biosensors can also be used to detect burnout-related symptoms, detecting, for instance, low step count, time in bed, heart rate, and heart rate variability."" It also highlights Electronic Health Record (EHR) workload (""technostress"") as a major systemic indicator/cause of burnout.","Synthesizes indicators across studies including: academic pressure, workload/time constraints, emotional strain, lack of support systems, financial pressures, sleep disruption, demographic factors (age, sex, ethnicity), and clinical specialty.","None directly evaluated (Narrative Review). However, the paper identifies integrating Artificial Intelligence (AI) as a crucial future direction to reduce administrative burdens (e.g., via digital scribes).","None / Not Applicable.","None / Not Applicable.","No algorithmic recommendations provided.","Not an actionable technological system. The review outlines a comprehensive, multi-level plan including: Institutional/Systemic changes (workload management, AI-assisted documentation tools to reduce EHR burden, fair shift scheduling) and Individual-level support (confidential counseling, resilience training, sleep hygiene promotion, peer mentorship).","Provides a holistic, highly structured overview of the entire burnout ecosystem for medical professionals (from etiology to financial costs to interventions); clearly maps out the dual burden of clinical and academic pressures on medical students.","As a narrative review rather than a systematic review or meta-analysis, the selected literature may be subject to author selection bias.","The review explicitly identifies several gaps: lack of longitudinal studies to track burnout progression; scarce data on how burnout affects specific minority ethnicities and sexual/gender minorities; the need for clinical trials assessing the efficacy of organizational-level wellness interventions. It also notes that while most studies are Western-centric, burnout in low- and middle-income countries (LMICs) appears to be just as high or higher, representing a clear geographical gap."
"P024","Caterina Fiorilli, Daniela Barni, Claudia Russo, Vanessa Marchetti, Giacomo Angelini, Luciano Romano (2022)","International Journal of Environmental Research and Public Health (MDPI)","University students (both working and non-working) | Rome/Bergamo, Italy","494","To investigate differences in the academic burnout experience among university students based on their gender and worker status (employed vs. non-employed students).","Burnout Assessment Tool–Core Symptoms short version (BAT-C-Short version) (12 items measuring exhaustion, mental distance, cognitive impairment, and emotional impairment).","None used.","Burnout symptoms (BAT-C), sociodemographic information (age, gender, employment status), and academic factors (academic curricula/degree type, year of enrollment).","None. The study utilized traditional psychometric and inferential statistics: Measurement Invariance testing (using Mplus), Multivariate Analysis of Variance (MANOVA), and Multivariate Analysis of Covariance (MANCOVA) (using SPSS/Jamovi).","The MANOVA demonstrated significant gender differences (Wilks' Lambda = 0.847, p < 0.01). Female students showed significantly higher levels of exhaustion, cognitive impairment, and emotional impairment than male students. Interestingly, no significant differences were found based on worker status or the interaction between gender and worker status.","None / Not Applicable. (Interpretability relies on standard white-box MANOVA/MANCOVA test statistics).","No algorithmic personalized recommendations were provided.","Not an actionable technological system. The study recommends that academic staff and policymakers consider gender as a fundamental factor when designing institutional prevention programs to reduce burnout and subsequent academic dropout.","Validates the newer, highly comprehensive Burnout Assessment Tool (BAT-C) for the university student population; rigorously tests for measurement invariance across gender and worker status before running mean comparisons.","Cross-sectional design fails to capture the developmental trajectory of burnout throughout a student's academic career; the study lacked detailed variables regarding the working students' employment (e.g., number of hours worked per week, type of work), limiting the depth of the worker-status findings.","Total reliance on a single self-report instrument (BAT-C) without any objective behavioral or physiological data (such as passive digital logging); complete absence of predictive Machine Learning (ML) algorithms or Explainable AI (XAI); geographically limited to Italy (a high-income European country), leaving gaps regarding LMICs (e.g., Bangladesh)."
